Start Date	2014.01.01															
End Date	2019.01.01															
																
	SPX Index	AMZN US Equity	GOOGL US Equity	FB US Equity	MSFT US Equity	JNJ US Equity	PFE US Equity	XOM US Equity	JPM US Equity	BRK/A US Equity	BA US Equity	HD US Equity	WMT US Equity	WFC US Equity	VZ US Equity	PEP US Equity
	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price
Dates	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST
2014.12.17	2012,89	298,88	506,45	76,11	45,74	104,07	31,12	89,02	59,77	222800	125,06	98,94	84,23	53,79	46,44	93,72
2014.12.18	2061,23	297,73	514,62	78,4	47,52	106,81	31,97	91,16	61,48	229300	125,67	100,67	85,94	55,21	47,05	95,36
2014.12.19	2070,65	299,9	520,04	79,88	47,66	105,55	31,94	93,64	61,93	227886	126,23	101,93	85,16	54,45	47,02	95,44
2014.12.22	2078,54	306,54	532,3	81,45	47,98	106,74	32,09	93,33	61,94	227720	128,22	103,5	86,38	54,97	47,51	96,62
2014.12.23	2082,17	306,285	538,77	80,61	48,45	104,28	31,45	94,59	62,48	227630	130,03	103,76	86,66	55,47	47,67	97,36
2014.12.24	2081,88	303,03	536,93	80,77	48,14	104,59	31,42	93,78	62,48	226515	131,24	103,56	86,43	55,34	47,67	97,09
2014.12.25	2081,88	303,03	536,93	80,77	48,14	104,59	31,42	93,78	62,48	226515	131,24	103,56	86,43	55,34	47,67	97,09
2014.12.26	2088,77	309,09	541,52	80,775	47,88	105,06	31,65	93,21	62,55	226500	131,63	103,75	86,91	55,28	47,86	97,05
2014.12.29	2090,57	312,04	537,31	80,02	47,45	105,33	31,39	93,07	62,96	228165	132,29	104,53	86,64	55,71	47,55	96,73
2014.12.30	2080,35	310,3	535,28	79,22	47,02	105,36	31,38	93,02	63,15	228255	131,83	104,27	86,79	55,42	47,33	95,96
2014.12.31	2058,9	310,35	530,66	78,02	46,45	104,57	31,15	92,45	62,58	226000	129,98	104,97	85,88	54,82	46,78	94,56
2015.01.01	2058,9	310,35	530,66	78,02	46,45	104,57	31,15	92,45	62,58	226000	129,98	104,97	85,88	54,82	46,78	94,56
2015.01.02	2058,2	308,52	529,55	78,45	46,76	104,52	31,33	92,83	62,49	223600	129,95	103,43	85,9	54,7	46,96	94,44
2015.01.05	2020,58	302,19	519,46	77,19	46,325	103,79	31,16	90,29	60,55	220980	129,05	101,26	85,65	53,2	46,57	93,73
2015.01.06	2002,61	295,29	506,64	76,15	45,65	103,28	31,42	89,81	58,98	220450	127,53	100,95	86,31	52,09	47,04	93,02
2015.01.07	2025,9	298,42	505,15	76,15	46,23	105,56	31,85	90,72	59,07	223480	129,51	104,41	88,6	52,4	46,19	95,74
2015.01.08	2062,14	300,46	506,91	78,175	47,59	106,39	32,5	92,23	60,39	226680	131,8	106,72	90,47	53,56	47,18	97,48
2015.01.09	2044,81	296,93	500,72	77,74	47,19	104,94	32,65	92,1	59,34	224675	131,54	104,89	89,35	52,68	46,76	96,82
2015.01.12	2028,26	291,41	497,06	76,72	46,6	104,58	32,77	90,33	58,83	222424,44	130,87	104,42	90,02	52,05	47,08	96,42
2015.01.13	2023,03	294,74	501,8	76,45	46,355	104,76	32,44	90	58,84	223000	131,17	103,73	89,31	51,85	47,18	96,35
2015.01.14	2011,27	293,27	505,93	76,28	45,955	104	32,48	89,74	56,81	221878	130,38	102,64	86,61	51,25	46,97	96,67
2015.01.15	1992,67	286,95	504,01	74,05	45,48	102,49	32,4	88,96	54,99	221510	130,14	101,01	87,38	50,72	47,1	96,67
2015.01.16	2019,42	290,74	510,455	75,18	46,24	104,04	32,8	91,12	55,93	223615	130,78	104,12	86,77	51,64	47,99	97,29
2015.01.19	2019,42	290,74	510,455	75,18	46,24	104,04	32,8	91,12	55,93	223615	130,78	104,12	86,77	51,64	47,99	97,29
2015.01.20	2022,55	289,44	509,94	76,24	46,39	101,29	33,1	91,09	55,71	222636	131,22	103,25	86,69	52	48,18	97,51
2015.01.21	2032,12	297,25	520,39	76,74	45,92	101,9	32,64	91,87	55,89	220895	132,41	103,53	86,64	52,1	48,25	97,4
2015.01.22	2063,15	310,32	537,3	77,65	47,13	103,76	32,81	92,87	57,59	224915	135,64	106,07	88,3	53,77	47,8	98,9
2015.01.23	2051,82	312,39	541,95	77,83	47,18	102,2	32,45	90,89	56,68	223751	134,62	105,37	88,51	53,26	47,15	98,53
2015.01.26	2057,09	309,66	536,72	77,495	47,01	102,26	32,8	91,76	56,77	224184	134,07	106,36	88,63	53,58	46,96	98,69
2015.01.27	2029,55	306,75	521,19	75,78	42,66	102,09	32,6	90,95	56,2	221511	132,48	105,16	87,53	52,97	46,35	96,72
